customer_id,name,age,city,product_type,annual_income,monthly_salary,credit_score,credit_utilization,savings_change_pct,loan_amount,monthly_emi,current_salary_delay_days,risk_score,risk_level,suggested_action,ability_score,willingness_score,rare_case_type,employment_type,aadhar_no,pan_no,account_opened_date
CUSR-100055,Saanvi Malhotra,49,Bangalore,Gold Loan,3422522,285210.17,653,10.62,1.9,3722708.0,103408.56,13,42,Medium,Standard Monitoring,64,76,Normal,Self-Employed,4330-4373-7261,CUNP1581D,2020-04-01
CUSR-100056,Diya Chatterjee,44,Pune,Home Loan,2497457,208121.42,840,38.44,8.17,4903896.0,408658.0,2,25,Low,Standard Monitoring,61,90,Normal,Self-Employed,6881-3011-2306,LIOP8284J,2017-07-29
CUSR-100057,Aarav Verma,47,Kolkata,Gold Loan,3069905,255825.42,677,44.03,6.55,1612721.0,134393.42,1,25,Low,Standard Monitoring,73,81,Normal,Salaried,9682-4221-4626,GJXP8542E,2023-11-09
CUSR-100058,Sai Malhotra,45,Mumbai,Credit Card,2328148,194012.33,843,52.16,-37.74,4539124.0,189130.17,1,59,High,🛡️ Wellness: Savings Protection,39,65,Normal,Business,2361-4964-8751,EUKP5507D,2020-05-01
CUSR-100059,Ishani Kapoor,52,Ahmedabad,Home Loan,3624230,302019.17,767,29.06,10.22,799386.0,66615.5,2,22,Low,Standard Monitoring,56,85,Normal,Salaried,1522-3179-3776,YJWP2696P,2019-05-28
CUSR-100060,Ishaan Aggarwal,41,Chennai,Gold Loan,1456105,121342.08,717,41.68,10.41,4518877.0,188286.54,2,27,Low,Standard Monitoring,61,72,Normal,Business,6575-2284-4144,YGPP9708H,2023-01-03
CUSR-100061,Riya Sharma,26,Bangalore,Personal Loan,837062,69755.17,616,41.29,5.21,2030129.0,56392.47,2,27,Low,Standard Monitoring,35,97,Victim of Circumstance,Salaried,5537-9590-6500,CJEP6573Y,2020-03-12
CUSR-100062,Kiara Patel,55,Mumbai,Auto Loan,2409726,200810.5,679,41.33,9.1,4401134.0,122253.72,1,24,Low,Standard Monitoring,46,96,Normal,Salaried,8670-5868-4325,ILMP3687Y,2020-02-20
CUSR-100063,Kiara Reddy,54,Mumbai,Gold Loan,4576910,381409.17,786,49.33,-15.98,321201.0,8922.25,2,43,Medium,Standard Monitoring,32,85,Victim of Circumstance,Business,1643-1149-9040,WYHP9707H,2018-08-08
CUSR-100064,Arjun Iyer,63,Chennai,Credit Card,2990701,249225.08,621,25.88,7.58,4105289.0,68421.48,2,20,Low,Standard Monitoring,43,52,Normal,Salaried,1078-1822-8599,SWKP1133L,2016-09-05
CUSR-100065,Shaurya Bose,38,Hyderabad,Home Loan,4546385,378865.42,788,56.56,-23.7,1474828.0,61451.17,2,52,High,Standard Monitoring,34,85,Victim of Circumstance,Self-Employed,7958-5170-9591,NJBP4855K,2017-05-14
CUSR-100066,Aarav Aggarwal,30,Delhi,Auto Loan,1430288,119190.67,832,44.85,11.84,4450505.0,185437.71,0,23,Low,Standard Monitoring,83,49,Normal,Business,5894-5561-9179,PVWP4818K,2019-10-29
CUSR-100067,Aarav Nair,44,Lucknow,Auto Loan,1313087,109423.92,827,60.22,-46.96,1400387.0,23339.78,1,88,Critical,🛡️ Wellness: Savings Protection,83,11,Strategic Defaulter,Self-Employed,8350-4340-4306,JMRP2131B,2020-08-21
CUSR-100068,Kiara Nair,35,Lucknow,Personal Loan,4839866,403322.17,682,35.84,6.79,2173518.0,60375.5,2,24,Low,Standard Monitoring,88,50,Normal,Self-Employed,9870-7896-9731,CPYP7775O,2022-07-17
CUSR-100069,Riya Chatterjee,39,Ahmedabad,Home Loan,4361034,363419.5,628,12.16,11.81,2783631.0,46393.85,2,15,Low,Standard Monitoring,39,38,Normal,Salaried,1425-2722-4840,PXCP4026N,2024-03-11
CUSR-100070,Aarav Bose,35,Chennai,Credit Card,2780842,231736.83,607,29.92,4.54,4669523.0,194563.46,0,17,Low,Standard Monitoring,71,66,Normal,Business,2399-6855-5744,EEDP5416J,2020-04-17
CUSR-100071,Shaurya Singh,36,Jaipur,Home Loan,2863334,238611.17,667,98.52,-11.01,530736.0,44228.0,4,87,Critical,🔒 Shield: Limit Cap at 98%,75,37,Strategic Defaulter,Salaried,2543-5688-5754,NXIP5638T,2018-04-25
CUSR-100072,Ishani Reddy,63,Chennai,Home Loan,1321710,110142.5,780,12.78,-7.72,4141611.0,69026.85,22,71,High,📞 Call Ishani Reddy: Salary Delay Relief,43,54,Normal,Business,3839-4216-4145,LMSP9253M,2018-09-19
CUSR-100073,Riya Singh,44,Hyderabad,Home Loan,450134,37511.17,777,16.29,7.55,4277216.0,178217.33,0,12,Low,Standard Monitoring,70,93,Normal,Salaried,5518-5195-4438,VCQP1900U,2024-10-02
CUSR-100074,Ishaan Gupta,55,Jaipur,Home Loan,4914547,409545.58,735,17.97,-8.54,1868443.0,31140.72,20,69,High,📞 Call Ishaan Gupta: Salary Delay Relief,59,76,Normal,Self-Employed,7371-1193-3641,ULHP5568D,2022-10-15
CUSR-100075,Sai Patel,51,Lucknow,Home Loan,3348452,279037.67,688,69.34,-23.6,3528711.0,58811.85,4,62,High,Standard Monitoring,49,89,Normal,Salaried,1670-6913-2921,JUXP5348J,2021-07-19
CUSR-100076,Ishani Sharma,29,Lucknow,Home Loan,1375197,114599.75,659,33.76,3.19,4385580.0,73093.0,2,24,Low,Standard Monitoring,93,73,Normal,Salaried,3425-9658-2749,XCTP1626J,2017-09-17
CUSR-100077,Arjun Kapoor,51,Bangalore,Credit Card,1688061,140671.75,776,22.6,2.94,4183587.0,116210.75,16,54,High,📞 Call Arjun Kapoor: Salary Delay Relief,55,72,Normal,Salaried,7916-4076-2430,QWXP1132A,2024-09-30
CUSR-100078,Krishna Singh,54,Pune,Auto Loan,922107,76842.25,738,30.94,3.61,918145.0,25504.03,0,17,Low,Standard Monitoring,59,65,Normal,Salaried,4620-1759-7900,NIRP1174X,2024-03-06
CUSR-100079,Aarav Gupta,64,Hyderabad,Home Loan,1429747,119145.58,668,48.78,-24.95,2457576.0,102399.0,2,49,High,Standard Monitoring,23,79,Victim of Circumstance,Salaried,3294-5905-2017,KVYP8476N,2021-03-12
CUSR-100080,Ananya Sharma,37,Chennai,Credit Card,2116542,176378.5,823,38.54,6.6,4547962.0,189498.42,2,25,Low,Standard Monitoring,75,68,Normal,Salaried,9718-5490-1362,VJYP3170V,2017-02-08
CUSR-100081,Ishani Nair,55,Mumbai,Personal Loan,3650123,304176.92,771,24.29,-2.53,663854.0,18440.39,14,52,High,Standard Monitoring,90,32,Strategic Defaulter,Salaried,7514-4889-8399,PDYP2976W,2023-05-17
CUSR-100082,Krishna Kapoor,60,Hyderabad,Auto Loan,1824537,152044.75,608,24.99,9.57,3729074.0,103585.39,0,15,Low,Standard Monitoring,22,73,Victim of Circumstance,Business,2513-3124-1218,SLXP9270A,2020-06-17
CUSR-100083,Ishaan Chatterjee,25,Delhi,Home Loan,2784103,232008.58,671,48.11,-29.38,4996408.0,138789.11,0,48,High,Standard Monitoring,65,79,Normal,Self-Employed,2458-3910-3819,JBKP5166G,2017-11-10
CUSR-100084,Myra Joshi,34,Ahmedabad,Gold Loan,4439001,369916.75,697,29.88,4.83,395207.0,16466.96,0,17,Low,Standard Monitoring,50,45,Normal,Business,4110-5538-3584,GUFP2860N,2021-09-07
CUSR-100085,Ananya Patel,60,Chennai,Auto Loan,3673070,306089.17,665,17.17,8.78,1153220.0,32033.89,2,17,Low,Standard Monitoring,73,62,Normal,Salaried,3939-3196-1717,PVMP5577X,2022-01-12
CUSR-100086,Aaryan Joshi,44,Chennai,Auto Loan,3222692,268557.67,694,13.2,3.57,1132017.0,18866.95,2,15,Low,Standard Monitoring,63,45,Normal,Business,3083-9846-3696,KEQP8217S,2020-07-04
CUSR-100087,Diya Sharma,57,Bangalore,Personal Loan,1816215,151351.25,845,42.55,7.24,3122826.0,260235.5,1,25,Low,Standard Monitoring,29,91,Victim of Circumstance,Self-Employed,7793-4753-2246,HISP1390X,2022-01-15
CUSR-100088,Vihaan Joshi,51,Bangalore,Credit Card,4073828,339485.67,610,22.91,7.45,1607075.0,66961.46,1,17,Low,Standard Monitoring,34,76,Victim of Circumstance,Self-Employed,5358-1320-6757,DHDP1817L,2019-08-05
CUSR-100089,Vihaan Chatterjee,31,Jaipur,Gold Loan,3128575,260714.58,652,23.7,7.59,3552381.0,148015.88,0,14,Low,Standard Monitoring,93,35,Strategic Defaulter,Business,4052-2239-4755,YAXP6758B,2019-09-06
CUSR-100090,Riya Chatterjee,24,Chennai,Personal Loan,1461370,121780.83,678,14.73,3.91,4803867.0,133440.75,1,13,Low,Standard Monitoring,37,81,Victim of Circumstance,Salaried,6213-7011-2391,TPNP9911Y,2017-03-07
CUSR-100091,Arjun Joshi,63,Mumbai,Credit Card,3167386,263948.83,720,20.97,9.25,332692.0,13862.17,2,18,Low,Standard Monitoring,56,77,Normal,Business,2382-7360-2269,MLGP1438P,2017-09-17
CUSR-100092,Aarav Joshi,30,Kolkata,Gold Loan,4769646,397470.5,765,28.48,10.94,1631824.0,27197.07,2,21,Low,Standard Monitoring,74,47,Normal,Business,8457-9754-2558,TEUP9268T,2022-09-28
CUSR-100093,Diya Malhotra,48,Bangalore,Auto Loan,4281592,356799.33,828,89.0,-12.1,2876350.0,79898.61,1,53,High,🔒 Shield: Limit Cap at 89%,30,63,Normal,Business,1444-6516-7725,CSJP7965U,2021-11-23
CUSR-100094,Aaryan Aggarwal,62,Delhi,Personal Loan,423744,35312.0,821,54.59,-26.04,409888.0,34157.33,2,53,High,Standard Monitoring,72,87,Normal,Business,4320-6342-4340,OFNP8824L,2021-09-15
CUSR-100095,Aarav Malhotra,37,Pune,Personal Loan,3269592,272466.0,668,18.11,6.54,4850504.0,202104.33,2,17,Low,Standard Monitoring,83,32,Strategic Defaulter,Business,9123-6544-2849,KLSP1682T,2021-08-26
CUSR-100096,Kiara Kapoor,52,Mumbai,Gold Loan,2199812,183317.67,745,42.76,10.82,2835676.0,236306.33,2,27,Low,Standard Monitoring,41,86,Normal,Self-Employed,6054-8120-4260,UEJP4638O,2024-09-02
CUSR-100097,Anvi Kapoor,47,Delhi,Auto Loan,2108992,175749.33,753,21.62,0.63,1246155.0,20769.25,15,51,High,Standard Monitoring,90,50,Normal,Business,3027-1607-8566,ALMP8721A,2020-05-06
CUSR-100098,Kabir Verma,46,Chennai,Gold Loan,4092886,341073.83,734,31.97,6.9,2249030.0,93709.58,0,18,Low,Standard Monitoring,42,53,Normal,Salaried,4561-7549-7874,ERFP7585S,2025-01-24
CUSR-100099,Aditya Kapoor,41,Pune,Gold Loan,4831443,402620.25,825,38.14,6.54,3198175.0,88838.19,2,25,Low,Standard Monitoring,57,86,Normal,Self-Employed,6795-2745-6573,XNAP3209O,2018-12-25
CUSR-100100,Sara Reddy,51,Kolkata,Gold Loan,699091,58257.58,791,31.28,2.89,3202600.0,53376.67,2,23,Low,Standard Monitoring,60,95,Normal,Self-Employed,5636-2669-9174,RJHP4308A,2019-03-30
CUSR-100101,Aarav Sharma,56,Bangalore,Credit Card,4659717,388309.75,676,38.49,6.34,2780967.0,77249.08,2,25,Low,Standard Monitoring,53,84,Normal,Self-Employed,2394-3996-5079,OJSP4377A,2017-03-30
CUSR-100102,Aditya Sharma,50,Hyderabad,Auto Loan,4818201,401516.75,838,95.37,-11.66,2882328.0,48038.8,4,87,Critical,🔒 Shield: Limit Cap at 95%,64,16,Strategic Defaulter,Business,5493-3463-7351,WHCP9714W,2023-05-15
CUSR-100103,Aadhya Chatterjee,47,Pune,Credit Card,2590921,215910.08,723,40.83,6.03,1522430.0,25373.83,0,21,Low,Standard Monitoring,88,38,Strategic Defaulter,Self-Employed,3786-1297-8011,LNIP8580B,2020-04-18
CUSR-100104,Sara Nair,59,Lucknow,Credit Card,475563,39630.25,686,32.53,6.99,408704.0,6811.73,1,21,Low,Standard Monitoring,64,64,Normal,Salaried,4999-5225-4252,EMJP9174M,2019-10-03
CUSR-100105,Myra Reddy,38,Lucknow,Personal Loan,4879034,406586.17,792,36.22,6.58,737204.0,61433.67,0,19,Low,Standard Monitoring,23,56,Normal,Self-Employed,9924-7820-9168,YXTP8122K,2019-01-24
CUSR-100106,Ishani Aggarwal,32,Bangalore,Credit Card,2628319,219026.58,673,44.51,4.98,4800850.0,133356.94,0,23,Low,Standard Monitoring,49,70,Normal,Business,3548-1117-9550,YLGP6230G,2021-05-12
CUSR-100107,Krishna Aggarwal,33,Jaipur,Home Loan,2078289,173190.75,745,67.6,-41.24,722926.0,20081.28,3,73,High,🛡️ Wellness: Savings Protection,75,31,Strategic Defaulter,Salaried,4567-4859-3683,FQXP8594R,2021-07-29
CUSR-100108,Ananya Gupta,42,Bangalore,Credit Card,2321571,193464.25,780,22.31,5.92,1047217.0,29089.36,1,16,Low,Standard Monitoring,73,51,Normal,Business,4030-9184-3215,KUFP2245X,2023-01-03
CUSR-100109,Saanvi Gupta,52,Pune,Gold Loan,4962281,413523.42,804,29.6,0.54,414341.0,6905.68,14,52,High,Standard Monitoring,57,71,Normal,Business,6237-3561-4826,WFNP4422C,2021-09-16
CUSR-100110,Aaryan Gupta,47,Bangalore,Home Loan,3755687,312973.92,650,10.72,11.3,2291374.0,63649.28,2,14,Low,Standard Monitoring,22,37,Normal,Business,2620-4975-6275,GWLP9257H,2022-10-01
CUSR-100111,Anvi Nair,39,Pune,Credit Card,1625631,135469.25,812,21.2,-1.04,4755386.0,132094.06,19,62,High,📞 Call Anvi Nair: Salary Delay Relief,51,60,Normal,Business,5567-9468-1740,XQKP4835U,2018-04-20
CUSR-100112,Kiara Sharma,57,Bangalore,Gold Loan,2077729,173144.08,635,55.53,-50.01,588826.0,49068.83,1,88,Critical,🛡️ Wellness: Savings Protection,84,37,Strategic Defaulter,Self-Employed,1741-4474-6775,GOPP9946M,2016-06-05
CUSR-100113,Kabir Verma,32,Hyderabad,Personal Loan,550387,45865.58,660,65.64,-54.89,1177673.0,49069.71,2,88,Critical,🛡️ Wellness: Savings Protection,85,20,Strategic Defaulter,Business,9831-2714-4019,LGGP7450V,2017-10-25
CUSR-100114,Kiara Iyer,26,Pune,Home Loan,3652440,304370.0,642,25.88,3.15,1348911.0,112409.25,2,20,Low,Standard Monitoring,46,41,Normal,Salaried,3705-2600-1969,ILEP3972F,2020-06-06
