customer_id,name,age,city,product_type,annual_income,credit_score,employment_type,aadhar_no,pan_no,account_opened_date
CUSR-100018,Vihaan Patel,37,Kolkata,Auto Loan,3546380,785,Business,2704-2067-9525,FEUP2629U,2018-08-12
CUSR-100019,Ishani Malhotra,40,Lucknow,Credit Card,1512595,679,Business,4940-6302-5254,RBNP5418M,2016-04-14
CUSR-100020,Anvi Chatterjee,51,Mumbai,Credit Card,4265465,810,Self-Employed,8690-5491-4828,ODFP5925W,2017-01-17
CUSR-100021,Shaurya Singh,39,Ahmedabad,Personal Loan,3567930,810,Business,6273-2908-1979,GXFP1508K,2023-02-07
CUSR-100022,Aarav Nair,31,Bangalore,Home Loan,3085619,819,Salaried,7791-6258-3621,XXIP4721A,2020-06-06
CUSR-100023,Aadhya Joshi,61,Hyderabad,Personal Loan,4293352,610,Salaried,4835-3014-7466,OSVP4919K,2019-04-27
CUSR-100024,Aaryan Kapoor,55,Jaipur,Personal Loan,3270068,612,Self-Employed,1921-4957-8056,KRWP5655I,2018-05-14
CUSR-100025,Aaryan Sharma,29,Jaipur,Credit Card,1893011,663,Business,4617-1835-6317,QEVP3710T,2019-08-17
CUSR-100026,Aditya Joshi,60,Kolkata,Gold Loan,3680987,686,Self-Employed,2097-3917-7071,GFMP6159P,2022-01-02
CUSR-100027,Kiara Verma,54,Hyderabad,Home Loan,2816506,699,Salaried,6972-9515-5326,FCIP1907M,2020-06-20
CUSR-100028,Aarav Verma,35,Bangalore,Home Loan,1390929,785,Business,2288-9839-3057,MRQP9291H,2017-06-09
CUSR-100029,Sara Patel,54,Lucknow,Credit Card,2468966,645,Salaried,5005-8634-6536,KLLP5849J,2023-03-21
CUSR-100030,Sara Reddy,53,Bangalore,Home Loan,3852852,606,Business,6153-4865-2955,FQAP4401Q,2018-12-06
CUSR-100031,Aaryan Iyer,42,Pune,Home Loan,1807115,629,Self-Employed,6880-2682-8099,HEAP9489Q,2022-02-25
CUSR-100032,Ishaan Sharma,27,Lucknow,Credit Card,4100862,763,Salaried,4297-6987-1774,KPYP7273J,2016-05-28
CUSR-100033,Ananya Deshmukh,47,Ahmedabad,Personal Loan,769151,625,Business,5268-7546-3522,MREP9351N,2020-01-04
CUSR-100034,Diya Nair,63,Delhi,Home Loan,1487724,663,Self-Employed,8675-9249-2710,EMXP2097I,2018-08-07
CUSR-100035,Kabir Deshmukh,38,Pune,Home Loan,3277484,671,Business,3386-1714-5002,CDFP3821T,2022-10-16
CUSR-100036,Anvi Joshi,26,Delhi,Personal Loan,1160550,652,Self-Employed,3067-5023-4389,FTWP4582R,2022-01-26
CUSR-100037,Arjun Nair,53,Chennai,Gold Loan,2257093,730,Self-Employed,3856-5265-5391,GYNP2238Q,2024-04-19
CUSR-100038,Vihaan Chatterjee,49,Hyderabad,Gold Loan,4631038,775,Salaried,4973-4301-9430,RUSP3067T,2018-01-25
CUSR-100039,Kabir Kapoor,24,Chennai,Auto Loan,1815249,781,Self-Employed,8239-8797-9556,AJNP3871R,2019-10-12
CUSR-100040,Sai Deshmukh,38,Mumbai,Home Loan,3776878,626,Business,8974-1088-8035,BFDP1874O,2024-11-09
CUSR-100041,Shaurya Deshmukh,52,Mumbai,Home Loan,2093593,805,Self-Employed,5807-8991-3976,LPHP9006X,2023-09-02
CUSR-100042,Ishani Gupta,55,Pune,Gold Loan,4630171,716,Self-Employed,6944-1985-9948,VRKP5760R,2023-02-07
CUSR-100043,Ananya Verma,47,Hyderabad,Gold Loan,3220258,745,Self-Employed,2506-5441-4308,CKTP5628P,2018-03-18
CUSR-100044,Krishna Chatterjee,40,Delhi,Home Loan,2990054,655,Self-Employed,9937-2903-3820,YAVP6143G,2024-04-20
CUSR-100045,Ishani Deshmukh,55,Jaipur,Auto Loan,911668,734,Self-Employed,3741-5612-5368,OYRP6745U,2019-04-24
CUSR-100046,Kabir Malhotra,24,Chennai,Home Loan,3524059,687,Business,1039-2781-9843,HRNP3097J,2024-02-16
CUSR-100047,Aaryan Deshmukh,51,Hyderabad,Gold Loan,1668504,682,Salaried,4487-7251-1626,UGGP5506T,2017-06-28
CUSR-100048,Riya Aggarwal,36,Chennai,Gold Loan,1736635,640,Business,7623-7896-4361,BFVP5736I,2020-04-12
CUSR-100049,Ishaan Aggarwal,58,Mumbai,Personal Loan,1363514,804,Salaried,7488-1622-6819,MPEP3233T,2022-09-24
CUSR-100050,Ananya Bose,41,Mumbai,Credit Card,2196063,743,Salaried,1018-5737-9023,KTSP4166D,2017-02-20
CUSR-100051,Aadhya Aggarwal,51,Chennai,Auto Loan,4590215,766,Business,6319-1952-5162,XVQP8856U,2018-02-19
CUSR-100052,Kiara Singh,37,Kolkata,Auto Loan,3007468,667,Business,3771-8507-8971,XKVP9884C,2024-01-06
CUSR-100053,Kiara Nair,39,Delhi,Personal Loan,2946480,777,Self-Employed,1684-9562-3880,THVP7010R,2024-09-12
CUSR-100054,Kiara Bose,54,Pune,Home Loan,3791051,715,Business,6517-1535-2353,BNNP4271A,2016-04-10
CUSR-100055,Myra Singh,53,Hyderabad,Personal Loan,1332783,613,Salaried,8635-6143-9404,IWVP4272W,2018-09-23
CUSR-100056,Myra Malhotra,48,Delhi,Personal Loan,859775,663,Self-Employed,1495-4082-8722,VDWP9333U,2016-12-11
CUSR-100057,Ishani Bose,32,Hyderabad,Home Loan,1138714,721,Business,5218-5379-7614,JSYP6174P,2017-07-23
CUSR-100058,Myra Joshi,50,Delhi,Credit Card,1499676,627,Self-Employed,8987-9743-3551,CQUP7935X,2023-01-21
CUSR-100059,Vihaan Kapoor,58,Delhi,Home Loan,2266757,714,Salaried,2048-6575-4475,UUOP8012T,2025-02-01
CUSR-100060,Sai Aggarwal,54,Chennai,Gold Loan,1613729,795,Business,1322-2516-8960,FKUP4671A,2019-05-26
CUSR-100061,Ishaan Chatterjee,63,Jaipur,Personal Loan,4401887,683,Salaried,3421-3632-5864,ALMP2026I,2019-03-01
CUSR-100062,Sara Bose,38,Pune,Personal Loan,4808904,833,Business,4807-1379-9693,UBCP5294T,2021-11-25
CUSR-100063,Vihaan Sharma,24,Bangalore,Home Loan,2507961,620,Business,1416-9512-3006,PYJP4408G,2023-05-22
CUSR-100064,Aditya Iyer,59,Kolkata,Gold Loan,3444718,848,Business,9483-1403-6173,TMSP5091P,2024-05-10
CUSR-100065,Myra Singh,50,Chennai,Credit Card,4375352,740,Business,5752-9816-5962,WCAP5878C,2023-09-18
CUSR-100066,Ishaan Nair,31,Bangalore,Credit Card,661987,796,Salaried,8547-7634-8246,YSHP7235P,2024-09-26
CUSR-100067,Riya Kapoor,45,Ahmedabad,Auto Loan,452893,836,Self-Employed,8383-1267-6963,UNSP4867F,2017-08-03
CUSR-100068,Krishna Patel,31,Kolkata,Home Loan,2489547,660,Self-Employed,2249-5375-2260,XBEP2483N,2023-11-07
CUSR-100069,Krishna Reddy,34,Lucknow,Auto Loan,3597866,642,Self-Employed,9754-9375-4383,HNXP8653V,2022-10-07
CUSR-100070,Diya Deshmukh,23,Delhi,Personal Loan,4668130,729,Salaried,9692-7693-8883,HPVP4918C,2023-02-18
CUSR-100071,Ishani Joshi,57,Ahmedabad,Personal Loan,3663871,846,Salaried,2307-9736-3491,NRJP2476I,2017-08-31
CUSR-100072,Sara Iyer,62,Bangalore,Gold Loan,2662981,632,Self-Employed,2355-8798-2911,GFWP2856Y,2021-07-03
CUSR-100073,Ishani Gupta,50,Jaipur,Personal Loan,1365323,702,Self-Employed,9493-3648-7546,VSYP1833S,2021-08-04
CUSR-100074,Riya Bose,40,Ahmedabad,Auto Loan,4181517,716,Salaried,7892-3676-4698,BFUP6922D,2017-11-15
CUSR-100075,Sara Chatterjee,27,Hyderabad,Gold Loan,3848646,611,Salaried,7837-5443-5632,IHXP6868X,2021-08-12
CUSR-100076,Krishna Gupta,40,Chennai,Home Loan,561414,738,Self-Employed,4299-7338-8529,LSLP3750G,2021-11-06
CUSR-100077,Aarav Reddy,34,Delhi,Personal Loan,1362279,645,Salaried,2876-2852-1558,RIRP3032F,2019-12-02
CUSR-100078,Ishani Sharma,53,Pune,Credit Card,3947570,757,Business,9843-4150-2973,UQCP4597R,2019-06-18
CUSR-100079,Anvi Reddy,42,Hyderabad,Personal Loan,3498780,808,Self-Employed,5760-4445-8675,SAJP9202C,2024-11-19
CUSR-100080,Diya Iyer,24,Jaipur,Gold Loan,2966334,642,Salaried,2567-8933-1463,OUKP8374X,2019-10-22
CUSR-100081,Riya Deshmukh,48,Delhi,Personal Loan,787307,808,Business,2454-1954-5438,QLXP5782A,2016-11-08
CUSR-100082,Aaryan Singh,49,Chennai,Gold Loan,4561481,608,Business,4483-1270-8117,WASP9635F,2021-04-18
CUSR-100083,Krishna Joshi,37,Jaipur,Gold Loan,1099757,787,Salaried,8145-2616-9359,SVPP1011T,2020-01-16
CUSR-100084,Aadhya Singh,28,Lucknow,Personal Loan,3644103,733,Business,8809-5320-4513,SMVP1826I,2024-11-05
CUSR-100085,Krishna Chatterjee,23,Delhi,Auto Loan,3287029,678,Self-Employed,8802-7901-8525,DAEP5314N,2017-09-03
CUSR-100086,Kabir Sharma,39,Hyderabad,Personal Loan,3885229,768,Self-Employed,9721-2772-3829,SYIP6575N,2018-01-02
CUSR-100087,Kiara Malhotra,32,Chennai,Auto Loan,1700988,778,Self-Employed,4618-7825-3450,CHNP1497F,2022-09-25
CUSR-100088,Anvi Reddy,61,Lucknow,Gold Loan,3169939,644,Self-Employed,2227-2108-5130,VJBP6642A,2021-10-02
CUSR-100089,Saanvi Chatterjee,24,Bangalore,Gold Loan,4284920,778,Salaried,4549-1062-6239,JIHP1691P,2023-03-29
CUSR-100090,Riya Singh,38,Chennai,Credit Card,3215854,689,Self-Employed,2481-3661-2459,QPSP5474W,2019-07-23
CUSR-100091,Saanvi Chatterjee,36,Bangalore,Auto Loan,661695,728,Business,1887-4316-5360,KHTP7439M,2018-09-27
CUSR-100092,Sara Joshi,27,Delhi,Auto Loan,1117102,765,Salaried,3474-4071-9740,YPHP1092U,2022-02-02
CUSR-100093,Kiara Reddy,42,Pune,Personal Loan,3322733,792,Salaried,6032-4499-9527,NMBP9575N,2016-12-01
CUSR-100094,Saanvi Verma,53,Bangalore,Personal Loan,1978335,689,Business,7034-7728-2913,OIFP1309K,2018-07-16
CUSR-100095,Sara Joshi,54,Ahmedabad,Credit Card,1073567,695,Business,6612-4142-7335,WCQP9340Y,2018-10-18
CUSR-100096,Anvi Reddy,58,Ahmedabad,Personal Loan,4934690,749,Self-Employed,1633-2340-1307,SVJP1340B,2016-10-09
CUSR-100097,Aadhya Aggarwal,60,Lucknow,Gold Loan,4811638,720,Business,1727-3965-4052,VUXP9381I,2017-01-25
CUSR-100098,Sara Aggarwal,45,Delhi,Personal Loan,2662774,789,Salaried,7533-3450-6225,KMEP8092O,2020-12-21
CUSR-100099,Anvi Verma,34,Chennai,Gold Loan,2522584,728,Self-Employed,1013-9980-2136,ETBP1677N,2018-07-02
CUSR-100100,Aaryan Reddy,33,Hyderabad,Credit Card,3895242,751,Self-Employed,2463-1782-2680,BKFP5466S,2018-07-28
CUSR-100101,Ishaan Deshmukh,62,Chennai,Home Loan,3062178,699,Self-Employed,3032-6941-4006,UBTP3411P,2020-09-06
CUSR-100102,Kabir Joshi,62,Bangalore,Auto Loan,1493519,733,Salaried,7480-3407-6655,BYPP2238E,2022-07-09
CUSR-100103,Ishani Malhotra,29,Delhi,Credit Card,3155552,648,Self-Employed,5477-9839-3354,WPCP3417X,2019-10-04
CUSR-100104,Saanvi Gupta,35,Chennai,Home Loan,4703708,762,Self-Employed,2770-3182-1584,TMGP2778N,2024-07-07
CUSR-100105,Ishaan Verma,26,Lucknow,Auto Loan,4994500,657,Salaried,1384-3435-4341,SMLP9297V,2024-07-26
CUSR-100106,Krishna Aggarwal,61,Ahmedabad,Auto Loan,3287797,741,Self-Employed,4543-6682-6529,WDAP8081V,2016-06-27
CUSR-100107,Aditya Reddy,55,Delhi,Home Loan,4093607,772,Salaried,6788-5252-8476,SJRP6701J,2017-07-15
CUSR-100108,Aarav Malhotra,51,Delhi,Home Loan,741595,663,Business,6828-2377-5934,JAEP8748R,2019-06-03
CUSR-100109,Aaryan Bose,34,Kolkata,Auto Loan,2279528,662,Business,1877-5891-4479,TRPP7052M,2020-01-19
CUSR-100110,Vihaan Chatterjee,62,Hyderabad,Home Loan,766015,679,Business,5519-5890-6133,OOXP2806N,2016-05-30
CUSR-100111,Riya Patel,43,Hyderabad,Credit Card,2558505,706,Business,4603-1487-8626,UPOP9231T,2022-08-01
CUSR-100112,Anvi Nair,36,Lucknow,Personal Loan,3315995,740,Business,1999-2698-4439,IMEP6232B,2019-10-30
CUSR-100113,Aditya Bose,23,Pune,Home Loan,3355911,655,Business,4540-9783-9335,QKKP8033S,2020-09-26
CUSR-100114,Ishani Kapoor,51,Lucknow,Home Loan,836661,621,Self-Employed,6763-5053-8726,AMSP2915E,2017-10-15
CUSR-100115,Kabir Bose,22,Mumbai,Home Loan,2842322,644,Business,6548-3495-2618,FFSP1230L,2020-05-26
CUSR-100116,Sara Nair,42,Pune,Personal Loan,2787785,827,Self-Employed,9654-8781-7156,MCJP5071Y,2018-02-28
CUSR-100117,Krishna Bose,61,Kolkata,Credit Card,1566767,770,Salaried,1780-3595-6246,SSQP9632J,2018-05-01
CUSR-100118,Kabir Gupta,62,Jaipur,Gold Loan,2894640,797,Self-Employed,2514-9227-5327,HHHP8766A,2017-10-06
CUSR-100119,Ananya Nair,42,Ahmedabad,Personal Loan,2942442,723,Self-Employed,6541-4250-5589,CLTP9779V,2024-11-28
CUSR-100120,Ananya Aggarwal,23,Pune,Home Loan,1139153,603,Business,8418-5648-4535,YQMP6411B,2024-07-18
CUSR-100121,Arjun Chatterjee,58,Hyderabad,Auto Loan,3433841,640,Self-Employed,5698-2415-1629,JLFP4296W,2022-01-15
CUSR-100122,Krishna Sharma,43,Chennai,Personal Loan,2810057,625,Salaried,9565-8665-2922,XOKP1974K,2020-01-29
CUSR-100123,Diya Sharma,51,Pune,Gold Loan,1628026,768,Self-Employed,8252-5364-7757,XTFP6001N,2016-05-31
CUSR-100124,Myra Chatterjee,43,Bangalore,Credit Card,862471,617,Business,7059-1460-7947,QKXP7721L,2020-04-01
CUSR-100125,Aditya Chatterjee,34,Jaipur,Personal Loan,661609,823,Salaried,7197-3095-3260,TLQP8769T,2023-02-06
CUSR-100126,Aaryan Malhotra,32,Chennai,Home Loan,1013150,749,Salaried,9075-9994-3577,IYAP6189W,2024-12-30
CUSR-100127,Kabir Malhotra,50,Jaipur,Auto Loan,4679730,619,Business,4715-6365-9696,EEOP8900X,2022-10-23
CUSR-100128,Krishna Singh,47,Pune,Home Loan,4286692,777,Business,8941-1293-9495,QMSP3440P,2024-03-24
CUSR-100129,Aadhya Gupta,56,Chennai,Credit Card,897107,647,Salaried,5425-4806-7867,QLMP4747H,2017-07-28
CUSR-100130,Ishaan Iyer,44,Delhi,Gold Loan,4295340,663,Business,5072-6422-5595,MOEP8991E,2016-07-21
CUSR-100131,Saanvi Kapoor,48,Hyderabad,Personal Loan,1087194,842,Salaried,8194-7901-6170,RDEP7208Q,2019-10-11
CUSR-100132,Ananya Patel,36,Kolkata,Auto Loan,520564,790,Salaried,1077-5501-8196,EQNP1616U,2024-11-19
CUSR-100133,Krishna Iyer,27,Jaipur,Gold Loan,966049,679,Business,8923-1225-6482,SMYP1470U,2024-08-04
CUSR-100134,Krishna Joshi,64,Chennai,Credit Card,1294589,755,Salaried,8601-8882-2429,IOKP1375K,2022-04-29
CUSR-100135,Kabir Reddy,58,Hyderabad,Gold Loan,2512837,692,Salaried,7076-4479-6713,BLLP2065J,2017-12-12
CUSR-100136,Ananya Nair,51,Delhi,Home Loan,925794,796,Salaried,6307-4338-1598,FIRP8855U,2019-06-20
CUSR-100137,Aaryan Nair,52,Bangalore,Home Loan,432751,757,Business,2419-2235-8333,RFMP9869I,2018-05-11
CUSR-100138,Ananya Nair,43,Lucknow,Gold Loan,3860632,828,Business,7018-5051-9979,JJIP8104U,2017-12-11
CUSR-100139,Ananya Malhotra,63,Ahmedabad,Credit Card,4846687,783,Business,5924-3656-5461,SCNP1206U,2018-09-04
CUSR-100140,Shaurya Verma,55,Pune,Auto Loan,4154728,642,Salaried,6061-6579-9207,ANHP9847Q,2019-07-28
CUSR-100141,Arjun Singh,49,Bangalore,Credit Card,1496782,748,Business,5658-7961-6301,LGUP1573P,2024-11-04
CUSR-100142,Saanvi Kapoor,22,Mumbai,Home Loan,2932250,747,Business,4184-8328-5889,IQDP6253C,2018-10-09
CUSR-100143,Kabir Kapoor,33,Jaipur,Gold Loan,1273114,742,Self-Employed,8701-7520-6145,DDAP3311S,2016-10-23
CUSR-100144,Kabir Iyer,37,Pune,Auto Loan,4898074,667,Business,7893-1104-9926,SMCP3205E,2021-08-10
CUSR-100145,Shaurya Kapoor,59,Delhi,Gold Loan,2910320,749,Business,3283-5939-1422,SFMP6439X,2020-11-30
CUSR-100146,Saanvi Verma,63,Kolkata,Personal Loan,4760916,760,Business,4657-6085-6672,NHYP2689X,2021-08-05
CUSR-100147,Vihaan Bose,28,Mumbai,Auto Loan,1803427,775,Self-Employed,2473-1022-7000,VBVP9741P,2020-05-28
CUSR-100148,Krishna Singh,52,Chennai,Gold Loan,4608773,779,Self-Employed,1870-6600-6074,LNVP8163F,2016-08-09
CUSR-100149,Vihaan Patel,62,Pune,Gold Loan,1128069,622,Self-Employed,4579-6649-8238,LHJP3504J,2021-11-05
CUSR-100150,Aarav Kapoor,56,Ahmedabad,Home Loan,4993509,719,Self-Employed,4933-3726-2502,YPVP2205S,2021-09-28
CUSR-100151,Kabir Nair,25,Jaipur,Home Loan,3601063,603,Self-Employed,8042-9456-9003,MXHP2288L,2021-10-02
CUSR-100152,Kiara Chatterjee,58,Jaipur,Gold Loan,4417851,715,Salaried,8597-2112-5324,YFAP8619I,2022-07-20
CUSR-100153,Krishna Aggarwal,31,Jaipur,Auto Loan,411740,812,Business,2500-9172-3560,EOAP1602O,2023-11-28
CUSR-100154,Sai Kapoor,61,Mumbai,Home Loan,1183867,697,Salaried,2635-3339-7739,LDGP2321X,2024-07-10
CUSR-100155,Arjun Malhotra,31,Delhi,Auto Loan,4119650,842,Business,4302-3495-4551,XBDP3845I,2020-08-08
CUSR-100156,Ananya Deshmukh,42,Chennai,Home Loan,2462671,663,Salaried,4155-6174-6348,YCVP7410N,2023-04-29
CUSR-100157,Sai Reddy,63,Delhi,Auto Loan,4227818,811,Business,4986-9514-8205,UYVP9665Y,2022-12-22
CUSR-100158,Anvi Patel,33,Lucknow,Auto Loan,3106492,736,Business,4962-8891-7731,EBRP5489D,2023-05-28
CUSR-100159,Aadhya Bose,52,Bangalore,Home Loan,2491766,843,Salaried,1159-5430-8740,YEOP2379H,2023-08-23
CUSR-100160,Riya Singh,44,Pune,Credit Card,4694413,630,Business,2653-2321-1414,SHRP2959A,2022-09-26
CUSR-100161,Aarav Deshmukh,41,Delhi,Gold Loan,4697395,816,Self-Employed,8027-5286-5366,YEIP7987D,2024-02-27
CUSR-100162,Saanvi Joshi,39,Chennai,Personal Loan,4596730,619,Business,2576-6515-1290,LOQP7229V,2019-11-05
CUSR-100163,Ishani Malhotra,61,Chennai,Credit Card,2693962,730,Salaried,2513-1002-7686,HKAP1331X,2019-04-08
CUSR-100164,Aarav Deshmukh,23,Hyderabad,Auto Loan,4340598,700,Business,8555-9376-2477,CVRP5320G,2023-12-11
CUSR-100165,Aditya Verma,49,Delhi,Home Loan,643986,726,Self-Employed,4246-9798-9060,XWIP2499A,2017-11-16
CUSR-100166,Shaurya Verma,62,Ahmedabad,Home Loan,2668902,716,Self-Employed,1498-7955-8005,RIJP7008S,2020-07-17
CUSR-100167,Ananya Reddy,45,Pune,Gold Loan,2756879,695,Salaried,2007-7877-5430,RIHP4534I,2023-04-06
CUSR-100168,Ishani Aggarwal,32,Ahmedabad,Personal Loan,2517100,777,Salaried,7897-9033-8518,ELBP6468K,2022-11-07
CUSR-100169,Vihaan Bose,59,Mumbai,Credit Card,1182769,687,Business,4169-2031-9913,IALP4124A,2024-01-15
CUSR-100170,Riya Gupta,52,Pune,Credit Card,1517648,613,Business,3371-8646-3405,UWXP2635H,2021-08-20
CUSR-100171,Vihaan Verma,39,Ahmedabad,Home Loan,3274369,729,Self-Employed,6260-3791-7815,TERP2606H,2017-10-14
CUSR-100172,Shaurya Chatterjee,40,Ahmedabad,Personal Loan,4497880,805,Self-Employed,3914-9453-8866,CDXP2378L,2018-11-13
CUSR-100173,Shaurya Aggarwal,37,Pune,Auto Loan,1194074,756,Business,9115-6626-1619,DMCP1345S,2021-11-08
CUSR-100174,Saanvi Aggarwal,58,Mumbai,Auto Loan,3393375,693,Salaried,5867-7266-2104,PYQP7654I,2024-02-12
CUSR-100175,Ishani Malhotra,54,Ahmedabad,Auto Loan,1352935,776,Business,7462-5023-5419,DKSP4424D,2023-04-07
CUSR-100176,Sara Reddy,40,Bangalore,Auto Loan,3054594,806,Self-Employed,7787-9037-9042,VQSP6516U,2020-05-01
CUSR-100177,Vihaan Joshi,45,Pune,Auto Loan,2646341,663,Business,9549-3206-6373,HIKP6633C,2017-05-25
CUSR-100178,Ananya Sharma,26,Kolkata,Home Loan,4960556,780,Self-Employed,8932-1686-4412,FPXP3773V,2017-08-31
CUSR-100179,Aaryan Gupta,37,Pune,Auto Loan,4851667,708,Business,4651-3369-7634,EQUP3423E,2024-09-19
CUSR-100180,Vihaan Nair,47,Hyderabad,Personal Loan,3074262,713,Self-Employed,5003-8430-4918,KIBP3355E,2018-01-23
CUSR-100181,Sai Kapoor,50,Chennai,Auto Loan,4159657,705,Business,1588-6920-1654,TDYP1397E,2018-11-02
CUSR-100182,Aaryan Gupta,40,Delhi,Gold Loan,4901352,676,Salaried,3062-8913-5635,QBDP4110U,2017-08-19
CUSR-100183,Vihaan Bose,48,Jaipur,Home Loan,1697225,788,Business,6083-3878-1658,NNSP5213W,2017-12-16
CUSR-100184,Anvi Joshi,45,Kolkata,Gold Loan,3963012,622,Self-Employed,7897-4859-3827,XUVP5183L,2019-10-02
CUSR-100185,Diya Gupta,29,Mumbai,Auto Loan,628065,644,Salaried,6307-5278-7741,DPPP9305K,2019-01-20
CUSR-100186,Aarav Chatterjee,42,Hyderabad,Home Loan,647996,764,Self-Employed,2528-1928-6219,QRCP9905H,2022-04-02
CUSR-100187,Ishaan Gupta,36,Pune,Gold Loan,1234994,675,Salaried,8522-3738-9259,ORNP4169C,2021-11-29
CUSR-100188,Krishna Nair,22,Jaipur,Credit Card,3214889,703,Self-Employed,6657-8522-2038,NIOP1675P,2023-01-13
CUSR-100189,Riya Iyer,37,Hyderabad,Credit Card,679159,622,Salaried,6819-2676-1794,ETGP6409F,2022-04-26
CUSR-100190,Diya Deshmukh,51,Chennai,Gold Loan,1195719,704,Self-Employed,9704-7523-7994,HLKP4488R,2017-08-31
CUSR-100191,Myra Singh,56,Bangalore,Auto Loan,2254456,723,Self-Employed,1646-9960-6511,ODDP8350V,2022-06-25
CUSR-100192,Ananya Verma,24,Bangalore,Personal Loan,4898592,846,Self-Employed,5956-9417-6297,NGEP7141A,2019-01-17
CUSR-100193,Vihaan Joshi,46,Jaipur,Credit Card,934081,752,Self-Employed,3544-1803-5628,TMCP4230K,2023-08-10
CUSR-100194,Aaryan Iyer,39,Ahmedabad,Home Loan,4663891,805,Self-Employed,1052-3525-4012,DUSP8152F,2016-07-31
CUSR-100195,Shaurya Gupta,64,Hyderabad,Personal Loan,3739579,616,Business,7811-2802-8386,NTKP6010G,2024-05-28
CUSR-100196,Diya Joshi,59,Chennai,Personal Loan,979596,840,Self-Employed,1013-8393-4716,QFKP2524K,2023-11-19
CUSR-100197,Krishna Joshi,54,Chennai,Personal Loan,835889,832,Business,6478-3877-1043,GRGP4553M,2017-06-11
CUSR-100198,Ananya Verma,28,Bangalore,Home Loan,2597320,693,Salaried,5952-1308-9011,WCPP4745O,2021-03-17
CUSR-100199,Sai Aggarwal,37,Pune,Gold Loan,4610194,715,Business,8316-5652-5591,UGUP7655J,2023-08-04
CUSR-100200,Kabir Reddy,50,Delhi,Auto Loan,2773941,798,Business,1586-8500-9475,HIRP2363C,2021-03-25
CUSR-100201,Ishaan Reddy,54,Kolkata,Personal Loan,4452282,603,Self-Employed,6253-8919-7769,SNKP4451O,2017-12-10
CUSR-100202,Ishaan Singh,46,Ahmedabad,Auto Loan,429031,641,Self-Employed,5510-2433-6390,IBUP7154N,2020-03-28
CUSR-100203,Aaryan Malhotra,53,Delhi,Credit Card,3306503,693,Salaried,9480-9841-5338,EAMP1418G,2018-08-01
CUSR-100204,Arjun Reddy,39,Lucknow,Credit Card,3824641,826,Salaried,4101-4724-9111,LKEP3938Q,2023-03-14
CUSR-100205,Vihaan Iyer,34,Kolkata,Credit Card,1868145,653,Salaried,3523-6494-4680,SAXP8570F,2022-12-03
CUSR-100206,Diya Bose,22,Lucknow,Personal Loan,1149596,615,Salaried,9983-5869-3323,JUOP3467Y,2022-11-09
CUSR-100207,Anvi Sharma,32,Jaipur,Home Loan,4235403,792,Business,3453-2158-4976,VIQP8362J,2024-02-22
